State,Year,Annual
Punjab,1901,523.5
Punjab,1902,398
Punjab,1903,571
Punjab,1904,451.5
Punjab,1905,434.3
Punjab,1906,677.5
Punjab,1907,589.2
Punjab,1908,740.4
Punjab,1909,846.1
Punjab,1910,616.3
Punjab,1911,505.6
Punjab,1912,536.4
Punjab,1913,561.2
Punjab,1914,794.4
Punjab,1915,421.7
Punjab,1916,588.4
Punjab,1917,1126.7
Punjab,1918,339.6
Punjab,1919,549.9
Punjab,1920,383.1
Punjab,1921,370.4
Punjab,1922,513.6
Punjab,1923,737.9
Punjab,1924,590.8
Punjab,1925,629.6
Punjab,1926,607.3
Punjab,1927,481
Punjab,1928,437.1
Punjab,1929,423
Punjab,1930,557.2
Punjab,1931,588.6
Punjab,1932,490.3
Punjab,1933,860.6
Punjab,1934,429.2
Punjab,1935,598.2
Punjab,1936,626.4
Punjab,1937,571.1
Punjab,1938,430.9
Punjab,1939,403.7
Punjab,1940,532.2
Punjab,1941,506.3
Punjab,1942,871.6
Punjab,1943,422.3
Punjab,1944,626.9
Punjab,1945,805.3
Punjab,1946,478.1
Punjab,1947,600.9
Punjab,1948,620.2
Punjab,1949,584.9
Punjab,1950,992
Punjab,1951,499.5
Punjab,1952,565.9
Punjab,1953,611.5
Punjab,1954,633.2
Punjab,1955,973.9
Punjab,1956,750.4
Punjab,1957,710.5
Punjab,1958,828
Punjab,1959,699.8
Punjab,1960,606.9
Punjab,1961,690.1
Punjab,1962,769.3
Punjab,1963,476.2
Punjab,1964,708.8
Punjab,1965,423.2
Punjab,1966,638.2
Punjab,1967,680.4
Punjab,1968,536.2
Punjab,1969,494.8
Punjab,1970,650.6
Punjab,1971,748
Punjab,1972,470.9
Punjab,1973,743.1
Punjab,1974,356.2
Punjab,1975,705.9
Punjab,1976,794.7
Punjab,1977,712.6
Punjab,1978,720.6
Punjab,1979,464
Punjab,1980,661.7
Punjab,1981,503.7
Punjab,1982,571.3
Punjab,1983,751.1
Punjab,1984,710.5
Punjab,1985,752.9
Punjab,1986,611.9
Punjab,1987,409.6
Punjab,1988,1222.6
Punjab,1989,480.3
Punjab,1990,754.7
Punjab,1991,475.9
Punjab,1992,478.2
Punjab,1993,583.1
Punjab,1994,580.9
Punjab,1995,869.1
Punjab,1996,589.7
Punjab,1997,690.1
Punjab,1998,588.6
Punjab,1999,364.4
Punjab,2000,405.3
Punjab,2001,441
Punjab,2002,274.7
Punjab,2003,424.6
Punjab,2004,351.7
Punjab,2005,552
Punjab,2006,647.7
Punjab,2007,594.8
Punjab,2008,717.1
Punjab,2009,361.2
Punjab,2010,451.5
Punjab,2011,705.2
Punjab,2012,493.6
Punjab,2013,586.6
Punjab,2014,382.7
Punjab,2015,510.8
Punjab,2016,444
Punjab,2017,497.5
